JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2458199.59600	8.068	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.59656	8.072	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.59713	8.090	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.59770	8.053	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.59826	8.069	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.59883	8.054	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.59939	8.054	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.59996	8.067	0.004		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60052	8.061	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60109	8.084	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60165	8.090	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60222	8.118	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60278	8.114	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60335	8.129	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60392	8.137	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60448	8.141	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60505	8.138	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60561	8.156	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60618	8.164	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60674	8.142	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60731	8.149	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60787	8.151	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60844	8.182	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60900	8.185	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.60957	8.183	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61013	8.205	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61070	8.233	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61126	8.249	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61183	8.265	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61239	8.260	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61296	8.247	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61352	8.235	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61409	8.245	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61464	8.280	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61521	8.277	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61577	8.286	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61634	8.386	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61690	8.392	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61746	8.322	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61802	8.291	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61859	8.375	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61915	8.381	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.61972	8.357	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62028	8.436	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62085	8.433	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62141	8.373	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62198	8.385	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62254	8.448	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62311	8.456	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62367	8.421	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62424	8.403	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62480	8.464	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62537	8.444	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62593	8.439	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62650	8.481	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62706	8.472	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62763	8.478	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62819	8.514	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62876	8.460	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62932	8.451	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.62989	8.509	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63045	8.496	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63101	8.508	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63271	8.467	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63327	8.467	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63384	8.483	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63440	8.498	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63497	8.479	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63553	8.445	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63610	8.456	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63666	8.466	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63723	8.471	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63778	8.458	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63835	8.442	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63891	8.456	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.63948	8.447	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64004	8.399	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64061	8.402	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64118	8.407	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64174	8.354	0.007		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64231	8.372	0.006		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64288	8.358	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64344	8.315	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64401	8.332	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
2458199.64457	8.320	0.005		V	SAH		ENSEMBLE		1500SA		0		Z				W UMA	AAVSO	STD				
